unique_id,file_path,post_url
8bba54a252794152845d54d6c64a6178,data\aar\page_1\8bba54a252794152845d54d6c64a6178.html,https://itatonline.org/archives/cit-vs-vodafone-essar-gujarat-ltd-gujarat-high-court-full-bench/
7b08f6bec4bc46f9a4b97993e362cd3b,data\aar\page_1\7b08f6bec4bc46f9a4b97993e362cd3b.html,https://itatonline.org/archives/dow-agrosciences-agricultural-products-ltd-in-re-aar-transfer-of-shares-of-an-indian-co-by-a-mauritius-entity-to-a-singapore-entity-due-to-group-reorganization-is-not-a-scheme-for-avoidance-of-tax-th/
8fbf550bf92548fd812494851d2e94d0,data\aar\page_1\8fbf550bf92548fd812494851d2e94d0.html,https://itatonline.org/archives/in-re-cummins-limited-aar-managerial-services-rendered-by-a-uk-co-to-an-indian-co-even-if-technical-in-nature-is-not-assessable-as-fees-for-technical-services-under-article-13-of-i/
5017b81377c04bdba7e060990457cc1f,data\aar\page_1\5017b81377c04bdba7e060990457cc1f.html,https://itatonline.org/archives/in-re-aberdeen-claims-administration-inc-aar-amount-received-by-a-fii-under-a-settlement-for-giving-up-right-to-sue-is-not-assessable-as-either-capital-gains-or-as-business-profits-in-principle-a-fi/
0e0b274c92454fdd874955cff02bc219,data\aar\page_1\0e0b274c92454fdd874955cff02bc219.html,https://itatonline.org/archives/in-re-tiong-woon-project-contracting-pte-limited-aar-an-installation-project-which-does-not-last-more-than-183-days-in-a-fiscal-year-is-not-a-permanent-establishment-and-the-business-profits-are-t/
f3b586e5fd2d4e9ca6e84df02f7afeed,data\aar\page_1\f3b586e5fd2d4e9ca6e84df02f7afeed.html,https://itatonline.org/archives/in-re-booz-company-australia-pvt-ltd-aar-entire-law-on-what-constitutes-a-permanent-establishment-and-business-connection-explained/
77758207932a420b823acecd49b93122,data\aar\page_1\77758207932a420b823acecd49b93122.html,https://itatonline.org/archives/in-re-castleton-investment-ltd-aar-aar-not-bound-by-own-rulings-transfer-pricing-roi-filing-provisions-apply-despite-no-income-foreign-company-is-liable-for-mat-us-115jb/
f55a9495891e40688a73b867f291f809,data\aar\page_1\f55a9495891e40688a73b867f291f809.html,https://itatonline.org/archives/in-re-orient-green-power-pte-ltd-aar/
ee89b5a814164d9cb0f8aabdfa87c85e,data\aar\page_1\ee89b5a814164d9cb0f8aabdfa87c85e.html,https://itatonline.org/archives/in-re-aramex-international-logistics-pvt-ltd-aar-a-subsidiary-created-for-indian-business-is-a-pe-of-the-foreign-parent/
a1b5116b416c49b089d28a16f14f9f99,data\aar\page_1\a1b5116b416c49b089d28a16f14f9f99.html,https://itatonline.org/archives/alstom-transport-sa-vs-dit-aar/
56cf327b0c46411db7b4167cb9e54faa,data\aar\page_2\56cf327b0c46411db7b4167cb9e54faa.html,https://itatonline.org/archives/in-re-roxar-maximum-reservoir-performance-wll-aar-a-composite-contract-for-installation-commissioning-cannot-be-split-so-as-to-exempt-the-profits-from-offshore-supply-of-goods/
04632b51f9844465b2a8a95c67406b7b,data\aar\page_2\04632b51f9844465b2a8a95c67406b7b.html,https://itatonline.org/archives/in-re-a-mauritus-aar-selective-buy-back-of-shares-in-lieu-of-dividend-is-a-colourable-transaction/
